순위,기업,주요 제품·역량,추천 공식 웹사이트
1,ABB Robotics,"산업용 로봇암, 협동로봇, AMR, 컨트롤러, 자동화 소프트웨어",https://www.abb.com/global/en/areas/robotics
2,FANUC,"산업용 로봇암, SCARA, 협동로봇, 로봇 컨트롤러, CNC",https://www.fanuc.com/
3,Yaskawa Motoman,"산업용 로봇암, 용접·팔레타이징 로봇, 서보, 모션 컨트롤러",https://www.motoman.com/en-us
4,KUKA,"산업용·협동 로봇암, 모바일 로봇, 로봇 컨트롤러, 자동화 시스템",https://www.kuka.com/
5,Harmonic Drive Systems,"하모닉 감속기, 정밀 액추에이터, 서보 액추에이터, 로봇 관절 모듈",https://www.harmonicdrive.net/
6,Nabtesco,"RV 정밀 감속기, 로봇 관절용 기어박스, 액추에이터",https://www.nabtesco.com/en/products/robot/
7,Geek+,"물류 AMR, 피킹·이송·분류 로봇, 창고관리 소프트웨어",https://www.geekplus.com/en
8,DJI Enterprise,"산업·농업용 드론, 측량·점검·물류 관련 무인기 솔루션",https://enterprise.dji.com/
9,Corvus Robotics,"창고 재고조사용 자율 드론, AI 비전, 실내 물류 인텔리전스",https://www.corvus-robotics.com/
10,Infinium Robotics,"창고 재고조사 드론, 자율 비행, AI 기반 재고관리",https://infiniumrobotics.com/
