순위,채널,URL,주요 내용,추천 대상
1,The Robot Report,https://www.therobotreport.com/,"로봇 기업, 투자·인수합병, 제품 출시, 제조·물류·서비스 로봇",산업 동향과 기업 분석
2,IEEE Spectrum Robotics,https://spectrum.ieee.org/topic/robotics,"로봇공학, 자율주행, 휴머노이드, 제어, 센서, 연구 성과",기술 깊이와 신뢰성 중시
3,Robotics & Automation News,https://roboticsandautomationnews.com/,"산업 자동화, 제조, 물류, 자율주행, 로봇 기업 뉴스",산업 현장과 상용화 동향
4,Robohub,https://robohub.org/,"로봇 연구, 로봇공학자 인터뷰, AI·자율성·사회적 영향",연구와 산업의 연결
5,Robotics Business Review,https://www.roboticsbusinessreview.com/,"로봇 시장, 비즈니스 모델, 투자, 도입 사례, 기업 전략",시장조사와 사업개발
6,Robotics 24/7,https://www.robotics247.com/,"물류 로봇, 창고 자동화, AMR·AGV, 공급망",물류·창고 로봇
7,Tech Xplore – Robotics,https://techxplore.com/robotics-news/,로봇 관련 대학·연구기관 논문과 기술 성과,신기술·논문 모니터링
8,MIT News – Robotics,https://news.mit.edu/topic/robotics,"조작, 로봇 학습, 인간-로봇 협업, 소프트 로봇",기초기술과 연구 동향
9,로봇신문,https://www.irobotnews.com/,"국내 로봇 기업, 정책, 전시회, 산업용·서비스 로봇",한국 시장과 정책
10,로봇신문 영문·글로벌 관련 보도 및 RSS 채널,https://www.krobot.org/,국내 로봇산업 기관·기업·행사 정보,한국 기업 및 생태계 파악
